geography,age,outcome_name,source,value,pct_captured,sample_size,value_lcl,value_ucl
Indiana,65+ Years,Diabetes,Epic Cosmos,19.6,70.48916029263947,745456,NA,NA
Indiana,65+ Years,Obesity,Epic Cosmos,50.9,70.48916029263947,745456,NA,NA
Indiana,Total,Diabetes,Epic Cosmos,8.9,47.27021598675226,3191373,NA,NA
Indiana,Total,Obesity,Epic Cosmos,41.8,47.27021598675226,3191373,NA,NA
Minnesota,<18 Years,Diabetes,Epic Cosmos,0.261,40.90478093699686,541403,NA,NA
Minnesota,<18 Years,Obesity,Epic Cosmos,4.1,40.90478093699686,541403,NA,NA
Minnesota,18-24 Years,Diabetes,Epic Cosmos,0.8,48.50961750253303,242258,NA,NA
Minnesota,18-24 Years,Obesity,Epic Cosmos,20.2,48.50961750253303,242258,NA,NA
Minnesota,25-34 Years,Diabetes,Epic Cosmos,1.6,47.89603485781161,362197,NA,NA
Minnesota,25-34 Years,Obesity,Epic Cosmos,35,47.89603485781161,362197,NA,NA
Minnesota,35-44 Years,Diabetes,Epic Cosmos,3.4,52.84602701451442,390381,NA,NA
Minnesota,35-44 Years,Obesity,Epic Cosmos,42.8,52.84602701451442,390381,NA,NA
Minnesota,45-54 Years,Diabetes,Epic Cosmos,7.6,48.108469988207894,331273,NA,NA
Minnesota,45-54 Years,Obesity,Epic Cosmos,47,48.108469988207894,331273,NA,NA
Minnesota,55-64 Years,Diabetes,Epic Cosmos,11.6,48.48772196275472,369699,NA,NA
Minnesota,55-64 Years,Obesity,Epic Cosmos,47.4,48.48772196275472,369699,NA,NA
Minnesota,65+ Years,Diabetes,Epic Cosmos,15.1,80.04885099227191,721654,NA,NA
Minnesota,65+ Years,Obesity,Epic Cosmos,45.1,80.04885099227191,721654,NA,NA
Minnesota,Total,Diabetes,Epic Cosmos,6.7,52.18040050281528,2958875,NA,NA
Minnesota,Total,Obesity,Epic Cosmos,34.5,52.18040050281528,2958875,NA,NA
Connecticut,<18 Years,Diabetes,Epic Cosmos,0.373,64.59688565744919,480918,NA,NA
Connecticut,<18 Years,Obesity,Epic Cosmos,5.7,64.59688565744919,480918,NA,NA
Connecticut,18-24 Years,Diabetes,Epic Cosmos,0.909,68.65132397267011,237329,NA,NA
